PassengerId,Survived
892,0.108716995
893,0.6482971
894,0.097959384
895,0.1359332
896,0.6807022
897,0.31865266
898,0.501555
899,0.12465374
900,0.81996393
901,0.13182084
902,0.1359332
903,0.15932845
904,0.8734114
905,0.054907933
906,1.1713189
907,0.77460796
908,0.1325781
909,0.17265883
910,0.44736058
911,0.7967529
912,0.08116119
913,0.5206404
914,0.8396023
915,0.2887022
916,0.9682269
917,0.05863112
918,0.74495786
919,0.16151616
920,0.21280564
921,0.09001367
922,0.07582406
923,0.12245962
924,0.62907314
925,0.686616
926,0.27536282
927,0.2892338
928,0.55212116
929,0.52839273
930,0.1460984
931,0.1359332
932,0.08855107
933,0.43249005
934,0.09335635
935,0.87508166
936,1.1251471
937,0.16624607
938,0.20207505
939,0.1359332
940,1.3490676
941,0.7559699
942,0.30954656
943,0.16161431
944,0.42560112
945,0.54621804
946,0.1846272
947,0.22685286
948,0.10733067
949,0.4528029
950,0.11592863
951,0.78045404
952,0.21280758
953,0.16108981
954,0.23733313
955,0.56966484
956,0.21312436
957,0.9567248
958,0.5940404
959,0.15716414
960,0.39454275
961,0.93491757
962,0.5615531
963,0.17265883
964,0.5469599
965,0.4653628
966,0.8333603
967,0.32350352
968,0.1359332
969,1.04128
970,0.169447
971,0.517792
972,0.4230514
973,0.1537216
974,0.15300322
975,0.1359332
976,0.1846272
977,0.10662569
978,0.5091542
979,0.5940404
980,0.5091542
981,1.2118182
982,0.8425727
983,0.1359332
984,0.8194094
985,0.1359332
986,0.20514064
987,0.16624607
988,1.284774
989,0.1435755
990,0.6423836
991,0.12721997
992,1.1123396
993,0.12316454
994,0.1359332
995,0.19088902
996,0.6513908
997,0.14852446
998,0.17265883
999,0.1359332
1000,0.18317108
1001,0.5186531
1002,0.13390736
1003,0.55212116
1004,0.76286733
1005,0.5399091
1006,1.1630194
1007,0.16784924
1008,0.1359332
1009,0.69617903
1010,0.31089956
1011,0.83055305
1012,0.728066
1013,0.10662569
1014,0.9484642
1015,0.14852446
1016,0.1359332
1017,0.5653763
1018,0.18997611
1019,0.33849207
1020,0.1157069
1021,0.15185568
1022,0.13086888
1023,0.9799745
1024,0.6023361
1025,0.11592863
1026,0.08955379
1027,0.17335519
1028,0.13832283
1029,0.16648741
1030,0.5210447
1031,0.049531106
1032,0.38338336
1033,0.6500075
1034,0.10566388
1035,0.1791507
1036,0.27781126
1037,0.06343818
1038,0.49577025
1039,0.16504973
1040,0.22387294
1041,0.4878314
1042,0.8985585
1043,0.1359332
1044,0.066023655
1045,0.7559699
1046,0.15820804
1047,0.15185568
1048,0.8070138
1049,0.5653738
1050,0.38231242
1051,0.69375473
1052,0.5091542
1053,0.47146192
1054,0.57952714
1055,0.1359332
1056,0.64457685
1057,0.624834
1058,0.21763308
1059,0.12897903
1060,0.9997238
1061,0.56966484
1062,0.1359332
1063,0.1359332
1064,0.14061315
1065,0.1359332
1066,0.05171232
1067,0.60840636
1068,0.59151566
1069,0.2188757
1070,1.04979
1071,1.3756678
1072,0.169447
1073,0.36313885
1074,0.9161402
1075,0.1359332
1076,0.9087863
1077,0.13633823
1078,0.65603393
1079,0.1621041
1080,0.24455819
1081,0.12000459
1082,0.108056284
1083,0.22387294
1084,0.32758763
1085,0.08603774
1086,0.70858026
1087,0.14938872
1088,0.6123749
1089,0.5940404
1090,0.2123645
1091,0.75932497
1092,0.5091542
1093,3.1652372
1094,0.8354915
1095,0.68103266
1096,0.19715253
1097,0.22387294
1098,0.48987174
1099,0.24639526
1100,0.7567592
1101,0.1460984
1102,0.13086888
1103,0.1359332
1104,0.2865666
1105,0.8098689
1106,0.15823324
1107,0.2341137
1108,0.55212116
1109,0.07875324
1110,1.0564387
1111,0.15391001
1112,0.5546195
1113,0.19976166
1114,0.88937354
1115,0.19976166
1116,1.0626917
1117,0.7403383
1118,0.18122384
1119,0.5091542
1120,0.1061545
1121,0.17280342
1122,0.35479078
1123,0.650635
1124,0.15684977
1125,0.1359332
1126,0.23871192
1127,0.21076185
1128,0.22109446
1129,0.18108699
1130,0.48456055
1131,1.0743064
1132,1.0718808
1133,0.75416714
1134,0.32160985
1135,0.1359332
1136,0.06416739
1137,0.28856876
1138,0.8526194
1139,0.07912517
1140,0.77930766
1141,0.71139294
1142,1.3158679
1143,0.26130834
1144,0.2911477
1145,0.17335519
1146,0.114701115
1147,0.15391001
1148,0.1359332
1149,0.13142292
1150,0.6451113
1151,0.19976166
1152,0.0936639
1153,0.19976166
1154,0.85660744
1155,1.1410939
1156,0.20012888
1157,0.1359332
1158,0.26561406
1159,0.15391001
1160,0.55212116
1161,0.21280758
1162,0.30488566
1163,0.1359332
1164,0.9125225
1165,0.41389233
1166,0.15391001
1167,0.6717224
1168,0.1791507
1169,0.084444046
1170,0.12231538
1171,0.22127073
1172,0.5210447
1173,1.3602848
1174,0.5091542
1175,0.6048133
1176,1.0268748
1177,0.10467594
1178,0.18317108
1179,0.2601066
1180,0.44499403
1181,0.1359332
1182,0.26561406
1183,0.5967265
1184,0.1359332
1185,0.59547395
1186,0.10467594
1187,0.14080946
1188,0.97995174
1189,0.09001367
1190,0.208429
1191,0.12723848
1192,0.13086888
1193,0.3570296
1194,0.11447766
1195,0.15185568
1196,0.55212116
1197,1.1134595
1198,0.24940696
1199,2.0682547
1200,0.13692789
1201,0.7708911
1202,0.23733313
1203,0.16504973
1204,0.1359332
1205,0.48529908
1206,1.228089
1207,0.54869294
1208,0.14742082
1209,0.25526315
1210,0.15391001
1211,0.13648063
1212,0.15979314
1213,0.45325178
1214,0.4965248
1215,0.19596668
1216,0.6495009
1217,0.1581466
1218,0.67428344
1219,0.22117244
1220,0.12659271
1221,0.19820632
1222,1.0402906
1223,0.2186712
1224,0.1359332
1225,0.69204515
1226,0.1359332
1227,0.3588881
1228,0.18962686
1229,0.08159244
1230,0.17176233
1231,0.084121525
1232,0.2698312
1233,0.13086888
1234,0.07697522
1235,1.268605
1236,0.075219624
1237,0.6132002
1238,0.19060233
1239,0.83553225
1240,0.17749622
1241,0.5731609
1242,1.1468228
1243,0.19715253
1244,0.22652903
1245,0.059991483
1246,1.8196046
1247,0.43259728
1248,1.0569787
1249,0.1359332
1250,0.1359332
1251,0.7651608
1252,0.23341568
1253,0.6920269
1254,0.92295027
1255,0.1359332
1256,0.9342815
1257,0.44656712
1258,0.10662569
1259,0.62734926
1260,0.9866142
1261,0.20608348
1262,0.15789978
1263,0.9160679
1264,0.23989975
1265,0.12720826
1266,0.8849026
1267,0.7021339
1268,0.3705958
1269,0.23125042
1270,0.2796833
1271,0.33753592
1272,0.1359332
1273,0.14080946
1274,0.71599495
1275,0.67304444
1276,0.1846272
1277,0.43421474
1278,0.20903698
1279,0.09115697
1280,0.17265883
1281,0.33045593
1282,0.34087342
1283,1.2368186
1284,0.25095332
1285,0.10627186
1286,0.07035274
1287,0.88693655
1288,0.15185568
1289,0.9902748
1290,0.18997611
1291,0.13478862
1292,0.81160015
1293,0.08859537
1294,0.6619456
1295,0.3279851
1296,0.2817854
1297,0.50877005
1298,0.16121885
1299,0.18899277
1300,0.55212116
1301,0.7435616
1302,0.5091542
1303,1.0284684
1304,0.5494571
1305,0.1359332
1306,1.1361204
1307,0.110900454
1308,0.13593324
1309,0.0651819
